listing_id,observed_nights,occupied_nights,occupancy_rate,estimated_revenue,average_booked_price
270370,365,296,0.810958904109589,0.0,
271509,365,193,0.5287671232876713,0.0,
277416,365,10,0.0273972602739726,0.0,
278192,365,0,0.0,0.0,
278830,365,0,0.0,0.0,
279063,365,1,0.0027397260273972603,0.0,
281208,365,96,0.26301369863013696,0.0,
281789,365,337,0.9232876712328767,0.0,
282934,365,328,0.8986301369863013,0.0,
284087,365,30,0.0821917808219178,0.0,
284480,365,92,0.25205479452054796,0.0,
284813,365,365,1.0,0.0,
286080,365,193,0.5287671232876713,0.0,
286712,365,0,0.0,0.0,
293890,365,151,0.4136986301369863,0.0,
299817,365,0,0.0,0.0,
301059,365,193,0.5287671232876713,0.0,
314180,365,233,0.6383561643835617,0.0,
315120,365,2,0.005479452054794521,0.0,
317248,365,303,0.8301369863013699,0.0,
319768,365,269,0.736986301369863,0.0,
320704,365,0,0.0,0.0,
338043,365,9,0.024657534246575342,0.0,
338091,365,0,0.0,0.0,
340706,365,212,0.5808219178082191,0.0,
341454,365,47,0.12876712328767123,0.0,
353039,365,65,0.1780821917808219,0.0,
353110,365,64,0.17534246575342466,0.0,
353347,365,34,0.09315068493150686,0.0,
354453,365,0,0.0,0.0,
356566,365,18,0.049315068493150684,0.0,
356608,365,78,0.2136986301369863,0.0,
363064,365,186,0.5095890410958904,0.0,
365550,365,44,0.12054794520547946,0.0,
366301,365,279,0.7643835616438356,0.0,
368403,365,30,0.0821917808219178,0.0,
370361,365,14,0.038356164383561646,0.0,
380950,365,160,0.4383561643835616,0.0,
384797,365,45,0.1232876712328767,0.0,
385438,365,307,0.8410958904109589,0.0,
387078,365,0,0.0,0.0,
387079,365,0,0.0,0.0,
387464,365,3,0.00821917808219178,0.0,
392140,365,0,0.0,0.0,
392779,365,190,0.5205479452054794,0.0,
394408,365,197,0.5397260273972603,0.0,
397117,365,41,0.11232876712328767,0.0,
408526,365,0,0.0,0.0,
413733,365,0,0.0,0.0,
421168,365,29,0.07945205479452055,0.0,
426089,365,7,0.019178082191780823,0.0,
429453,365,28,0.07671232876712329,0.0,
430453,365,0,0.0,0.0,
430609,365,4,0.010958904109589041,0.0,
430610,365,6,0.01643835616438356,0.0,
442487,365,123,0.336986301369863,0.0,
443580,365,125,0.3424657534246575,0.0,
443736,365,120,0.3287671232876712,0.0,
443942,365,0,0.0,0.0,
444221,365,228,0.6246575342465753,0.0,
445199,365,365,1.0,0.0,
446276,365,12,0.03287671232876712,0.0,
447488,365,276,0.7561643835616438,0.0,
447523,365,0,0.0,0.0,
449602,365,0,0.0,0.0,
451012,365,348,0.9534246575342465,0.0,
456040,365,18,0.049315068493150684,0.0,
458183,365,363,0.9945205479452055,0.0,
458186,365,363,0.9945205479452055,0.0,
458189,365,363,0.9945205479452055,0.0,
458191,365,363,0.9945205479452055,0.0,
458193,365,363,0.9945205479452055,0.0,
458197,365,363,0.9945205479452055,0.0,
461234,365,20,0.0547945205479452,0.0,
461567,365,208,0.5698630136986301,0.0,
463768,365,127,0.34794520547945207,0.0,
475361,365,7,0.019178082191780823,0.0,
479653,365,139,0.38082191780821917,0.0,
481220,365,7,0.019178082191780823,0.0,
486344,365,6,0.01643835616438356,0.0,
486829,365,180,0.4931506849315068,0.0,
488268,365,278,0.7616438356164383,0.0,
490076,365,189,0.5178082191780822,0.0,
491958,365,83,0.2273972602739726,0.0,
492287,365,0,0.0,0.0,
493591,365,4,0.010958904109589041,0.0,
496074,365,0,0.0,0.0,
506542,365,16,0.043835616438356165,0.0,
522287,365,279,0.7643835616438356,0.0,
523883,365,4,0.010958904109589041,0.0,
529090,365,0,0.0,0.0,
533443,365,276,0.7561643835616438,0.0,
535300,365,4,0.010958904109589041,0.0,
544433,365,33,0.09041095890410959,0.0,
555182,365,0,0.0,0.0,
555858,365,0,0.0,0.0,
557126,365,197,0.5397260273972603,0.0,
565703,365,31,0.08493150684931507,0.0,
566435,365,5,0.0136986301369863,0.0,
571640,365,0,0.0,0.0,
571651,365,0,0.0,0.0,
573942,365,57,0.15616438356164383,0.0,
580182,365,129,0.35342465753424657,0.0,
580815,365,53,0.14520547945205478,0.0,
585418,365,194,0.5315068493150685,0.0,
587584,365,191,0.5232876712328767,0.0,
598023,365,1,0.0027397260273972603,0.0,
604600,365,0,0.0,0.0,
606297,365,2,0.005479452054794521,0.0,
607788,365,0,0.0,0.0,
609252,365,0,0.0,0.0,
609421,365,0,0.0,0.0,
609610,365,45,0.1232876712328767,0.0,
609701,365,58,0.1589041095890411,0.0,
610989,365,363,0.9945205479452055,0.0,
611500,365,0,0.0,0.0,
611509,365,149,0.40821917808219177,0.0,
613020,365,336,0.9205479452054794,0.0,
613151,365,0,0.0,0.0,
619366,365,263,0.7205479452054795,0.0,
631445,365,8,0.021917808219178082,0.0,
637326,365,0,0.0,0.0,
637710,365,29,0.07945205479452055,0.0,
639130,365,43,0.1178082191780822,0.0,
649243,365,0,0.0,0.0,
654734,365,4,0.010958904109589041,0.0,
656909,365,364,0.9972602739726028,0.0,
660603,365,32,0.08767123287671233,0.0,
666897,365,28,0.07671232876712329,0.0,
668169,365,332,0.9095890410958904,0.0,
670009,365,0,0.0,0.0,
670021,365,272,0.7452054794520548,0.0,
670056,365,272,0.7452054794520548,0.0,
670262,365,21,0.057534246575342465,0.0,
671828,365,27,0.07397260273972603,0.0,
