level,setting,identifier,record_count,even_share,vs_even
partition_key,listing_id,1609922,365,365.0,1.0
partition_key,listing_id,4236723,365,365.0,1.0
partition_key,listing_id,7843837,365,365.0,1.0
partition_key,listing_id,3076065,365,365.0,1.0
partition_key,listing_id,6423204,365,365.0,1.0
partition_key,listing_id,8338849,365,365.0,1.0
partition_key,listing_id,6401209,365,365.0,1.0
partition_key,listing_id,20928,365,365.0,1.0
partition_key,listing_id,3344977,365,365.0,1.0
partition_key,listing_id,7604621,365,365.0,1.0
partition_key,listing_id,3303978,365,365.0,1.0
partition_key,listing_id,7067082,365,365.0,1.0
partition_key,listing_id,3121829,365,365.0,1.0
partition_key,listing_id,2539881,365,365.0,1.0
partition_key,listing_id,3678718,365,365.0,1.0
partition_key,listing_id,4694479,365,365.0,1.0
partition_key,listing_id,6646843,365,365.0,1.0
partition_key,listing_id,1364440,365,365.0,1.0
partition_key,listing_id,1781873,365,365.0,1.0
partition_key,listing_id,4138423,365,365.0,1.0
partition_key,listing_id,5562674,365,365.0,1.0
partition_key,listing_id,1789341,365,365.0,1.0
partition_key,listing_id,4672934,365,365.0,1.0
partition_key,listing_id,4550099,365,365.0,1.0
partition_key,listing_id,1198799,365,365.0,1.0
partition_key,listing_id,5308429,365,365.0,1.0
partition_key,listing_id,2769088,365,365.0,1.0
partition_key,listing_id,7603135,365,365.0,1.0
partition_key,listing_id,9374365,365,365.0,1.0
partition_key,listing_id,6106498,365,365.0,1.0
partition_key,listing_id,9331449,365,365.0,1.0
partition_key,listing_id,8799162,365,365.0,1.0
partition_key,listing_id,4317390,365,365.0,1.0
partition_key,listing_id,3884851,365,365.0,1.0
partition_key,listing_id,3155785,365,365.0,1.0
partition_key,listing_id,9368517,365,365.0,1.0
partition_key,listing_id,5643240,365,365.0,1.0
partition_key,listing_id,5042014,365,365.0,1.0
partition_key,listing_id,7724630,365,365.0,1.0
partition_key,listing_id,9449437,365,365.0,1.0
partition_key,listing_id,3053237,365,365.0,1.0
partition_key,listing_id,8132347,365,365.0,1.0
partition_key,listing_id,63733,365,365.0,1.0
partition_key,listing_id,2039149,365,365.0,1.0
partition_key,listing_id,227636,365,365.0,1.0
partition_key,listing_id,3689119,365,365.0,1.0
partition_key,listing_id,1179538,365,365.0,1.0
partition_key,listing_id,6823781,365,365.0,1.0
partition_key,listing_id,2284536,365,365.0,1.0
partition_key,listing_id,5143441,365,365.0,1.0
partition_key,listing_id,5749958,365,365.0,1.0
partition_key,listing_id,9116815,365,365.0,1.0
partition_key,listing_id,7731836,365,365.0,1.0
partition_key,listing_id,10262971,365,365.0,1.0
partition_key,listing_id,1407502,365,365.0,1.0
partition_key,listing_id,8817038,365,365.0,1.0
partition_key,listing_id,4449303,365,365.0,1.0
partition_key,listing_id,8255615,365,365.0,1.0
partition_key,listing_id,4053092,365,365.0,1.0
partition_key,listing_id,6886633,365,365.0,1.0
partition_key,listing_id,8820414,365,365.0,1.0
partition_key,listing_id,3052151,365,365.0,1.0
partition_key,listing_id,2339333,365,365.0,1.0
partition_key,listing_id,1618842,365,365.0,1.0
partition_key,listing_id,888967,365,365.0,1.0
partition_key,listing_id,380950,365,365.0,1.0
partition_key,listing_id,8097708,365,365.0,1.0
partition_key,listing_id,5671843,365,365.0,1.0
partition_key,listing_id,904057,365,365.0,1.0
partition_key,listing_id,7161725,365,365.0,1.0
partition_key,listing_id,9587410,365,365.0,1.0
partition_key,listing_id,9202380,365,365.0,1.0
partition_key,listing_id,2238105,365,365.0,1.0
